ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
BE,BELGIUM,EUR,BE0003565737,KBC GROUP,15943.7,12933.92,10024.95,9982.37,14112.97,23860.76,33994.49,44904.64,49926.81,10590.54,15590.65,12243.99,4522.07,13576.4,23701.45,23481.54,26173.58,25942.69,35699.04,26946.82,31344.78,29183.15,35757.74,26731.3
BE,BELGIUM,EUR,BE0003593044,COFINIMMO,729.84,603.95,614.61,747.25,1232.21,1563.37,1549.97,2013.33,2001.62,1490.57,1796.57,1785.96,1773.21,1940.18,2096.72,2013.41,2174.93,2331.58,2723.63,2767.12,3801.16,4033.01,5064.17,2936.99
BE,BELGIUM,EUR,BE0003717312,SOFINA,1608.36,1517.46,1497.86,1394.1,1843.83,2849.53,3013.82,3994.79,4269.03,2432.9,3463.4,3276.07,2742.91,3138.39,3964.44,3654.09,3847.21,4528.29,5393.71,6491.37,7404.8,11608.19,16825.95,7515.52
BE,BELGIUM,EUR,BE0003735496,ORANGE BELGIUM,3543.52,1873.17,1021.49,1488.51,3499.62,5907.48,5000.62,5395.42,5760.09,4308.08,4123.92,3905.59,3154.46,1534.24,1141.26,1423.73,1455.82,1256.83,1261.11,1182.73,1394.51,1600.8,1358.14,1104.25
BE,BELGIUM,EUR,BE0003739530,UCB,6297.97,5409.14,5908.4,4593.97,5501.88,7418.33,6830.49,12433.13,8315.62,5939.01,7687.07,6314.54,7738.45,10448.69,13684.56,14874.91,17586.4,12495.97,15456.74,15853.06,15480.14,20105.28,22196.52,15270.36
BE,BELGIUM,EUR,BE0003755692,AGFA-GEVAERT,2968.33,3337.24,1893.55,3121.76,3990.87,4369.6,2342.84,3290.34,1976.67,333.25,837.68,737.74,274.4,301.35,416.79,434.61,978.24,665.77,802.09,654.16,890.84,820.05,701.64,441.18
BE,BELGIUM,EUR,BE0003797140,GBL NEW,4821.0,5780.72,7271.66,5661.23,7792.37,11259.78,13515.79,17669.11,20728.98,12753.82,15290.75,13622.23,10789.56,12794.28,14837.52,13814.12,13818.08,13567.76,17435.92,14033.09,17018.88,16292.01,17453.47,12178.38
BE,BELGIUM,EUR,BE0974256852,COLRUYT,2231.36,1731.64,1619.67,2045.09,3623.82,5735.58,4852.78,7573.75,7829.7,7127.46,8073.12,8554.09,6390.24,8331.89,9423.5,7291.56,8073.25,7433.6,7820.02,10213.4,7222.72,8074.77,5671.02,3047.98
BE,BELGIUM,EUR,BE0974258874,BEKAERT (D),1044.52,885.02,859.22,1003.24,1411.35,1762.37,2005.06,2694.1,2673.66,1328.84,3087.56,6900.97,1929.7,1730.48,2128.79,1916.29,1854.01,2449.63,2642.08,1454.28,1796.97,2007.69,2690.72,2285.65
BE,BELGIUM,EUR,BE0974264930,AGEAS (EX-FORTIS),25769.16,23865.62,33575.23,22803.99,26044.58,35907.65,41361.62,55537.04,57274.18,3036.84,8849.88,5639.55,3829.59,7120.82,9957.96,8247.18,10404.63,8591.16,10237.4,9120.68,11730.78,10374.1,9895.38,8387.33
