ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
US7475251036,QUALCOMM,,,,0,0,3.82,61.18,7.64,49.32,62.6,62.48,65.75,66.63,67.02,66.47,67.8,69.24,66.08,65.22,61.82,66.52,68.04,67.19,
US74834L1008,QUEST DIAGNOSTICS,,,,0,0,0,0,0,27.53,8.36,27.82,58.57,54.8,49.42,52.28,59.58,62.51,63.85,53.81,52.99,62.57,63.38,70.73,
US7496851038,RPM INTERNATIONAL,,,,15.89,15.39,21.37,13.87,14.8,20.33,13.36,24.06,33.62,34.77,38.44,38.75,37.22,31.22,39.61,38.84,41.52,40.29,42.04,75.17,
US7512121010,RALPH LAUREN CL.A,,,,,,0,0,0,0,0,0,0,0,31.73,32.24,30.98,31.47,57.93,59.13,59.39,71.41,74.83,81.11,81.73
US75281A1097,RANGE RES.,,,,,,0,0,0,13.33,16.24,20.26,21.41,23.49,32.13,29.13,32.32,32.51,34.12,33.84,35.72,37.25,47.83,57.87,61.29
US75513E1010,RTX,,,,30.49,28.79,48.64,78.18,78.74,91.13,78.52,77.07,76.65,75.99,73.23,67.21,65.11,57.57,61.23,73.84,72.19,76.75,68.02,74.16,73.69
US7588491032,REGENCY CENTERS,,,,,,0,0,0,5.99,33.77,39.55,36.5,33.27,35.03,44.14,57.35,57.59,50.59,71.82,66.38,71.85,82.76,83.04,
US7591EP1005,REGIONS FINL.NEW,,,,27.08,24.6,25.81,25.56,23.63,21.41,23.14,20.27,20.26,48.82,44.86,41.48,39.84,43.69,53.2,61.99,48.45,73.03,76.54,77.57,
US7607591002,REPUBLIC SVS.'A',,,,,,0,0,0,5.25,10.05,7.78,16.04,12.86,57.41,54.41,73.65,74.32,77.4,82.07,84.22,84.31,82.53,83.04,93.58
US7703231032,ROBERT HALF,,,,0,0,0,0,0,0,0,0,3.29,3.44,23.99,27.11,25.97,32.59,27.96,39,55.07,58.48,62.58,66.27,66.27
US7739031091,ROCKWELL AUTOMATION,,,,25.93,18.35,15.69,13.16,11.25,41.58,33.22,58.5,36.95,36.48,44.51,42.88,43.15,41.09,39.75,40.58,48.62,76.45,79.4,78.62,
